gsp_id,gsp_name,longitude,latitude
108,ELGI_P,-3.2840556780347545,57.644555445791504
109,ELLA_1,-1.8660602117642568,53.65775606904117
110,ELST_1,-0.34513494809763057,51.70645600093277
111,ENDE_1,-1.2398809112553273,52.656752855902155
112,ERSK,-4.494336451275876,55.90348180161389
113,EXET1,-3.4586492326613687,50.81638771449047
114,FASN_P,-4.898142390222727,57.315002933815045
115,FAUG_P,-4.656962100668224,57.14590273542591
116,FAWL_1,-1.3325588576452754,50.71292388801858
117,FECK_6,-1.8336081868915404,52.08747315802927
118,FERRA2,-1.3031099809555697,53.66375482602409
119,FERRB_M,-1.3279318386167624,53.827988884233406
120,FETT_P|KINT_P|ROTI3,-2.4496504659036633,57.20410312423145
121,FIDD_P,-2.417689776001114,56.894695102453824
