"gsp_id","capacity_mwp"
322,"18.149754"
323,"133.01688"
324,"447.69912"
325,"13.407861"
326,"14.283592"
327,"9.3010695"
328,"103.27246"
329,"58.542257"
330,"4.4970613"
331,"51.459328"
332,"20.457805"
333,"0.39526796"
334,"65.51753"
335,"1.5485642"
336,"13.874813"
337,"1.5639725"
338,"8.2918807"
339,"2.0883289"
340,"28.088744"
341,"10.685087"
342,"1.4266592"
343,"97.169263"
344,"356.53804"
345,"24.218109"
346,"9.3406741"
347,"122.23462"
348,"115.14387"
